Insignes de grade et de Fonction des Forces canadiennes,,,
Grades,Marine royale canadienne,Armée canadienne,Aviation royale canadienne
Officiers généraux,Amiral (am),Général (gén),Général (gén)
,Vice-amiral (vam),Lieutenant-général (lgén),Lieutenant-général (lgén)
,Contre-amiral (cam),Major-général (mgén),Major-général (mgén)
,Commodore (cmdre),Brigadier-général (bgén),Brigadier-général (bgén)
Officiers supérieurs,Capitaine de vaisseau (capv),Colonel (col),Colonel (col)
,Capitaine de frégate (capf),Lieutenant-colonel (lcol),Lieutenant-colonel (lcol)
,Capitaine de corvette (capc),Major (maj),Major (maj)
Officiers subalternes,Lieutenant de vaisseau (ltv),Capitaine (capt),Capitaine (capt)
,Enseigne de vaisseaude 1re classe (ens 1),Lieutenant (lt),Lieutenant (lt)
,Enseigne de vaisseaude 2e classe (ens 2),Sous-lieutenant (slt),Sous-lieutenant (slt)
Officiers subordonnés,Aspirant de marine (aspm),Élève-officier (élof),Élève-officier (élof)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Premier maîtrede 1re classe (pm 1),Adjudant-chef (adjuc),Adjudant-chef (adjuc)
,Premier maîtrede 2e classe (pm 2),Adjudant-maître (adjum),Adjudant-maître (adjum)
,Maître de 1re classe (m 1),Adjudant (adj),Adjudant (adj)
,Maître de 2e classe (m 2),Sergent (sgt),Sergent (sgt)
Militaires du rang subalternes,Matelot-chef (matc),Caporal-chef (cplc),Caporal-chef (cplc)
,Matelot de 1re classe (mat 1),Caporal (cpl),Caporal (cpl)
,Matelot de 2e classe (mat 2),Soldat formé (sdt (f)) / Aviateur formé (avr) ,Soldat formé (sdt (f)) / Aviateur formé (avr) 
,Matelot de 3e classe (mat 3),Soldat confirmé  (sdt (c)) / Aviateur confirmé (avr),Soldat confirmé  (sdt (c)) / Aviateur confirmé (avr)
