Insignes de grade et de Fonction des Forces canadiennes,Environnement,Grade
Officiers généraux,Marine royale canadienne,Amiral (am)
Officiers généraux,Armée canadienne,Général (gén)
Officiers généraux,Aviation royale canadienne,Général (gén)
Officiers généraux,Marine royale canadienne,Vice-amiral (vam)
Officiers généraux,Armée canadienne,Lieutenant-général (lgén)
Officiers généraux,Aviation royale canadienne,Lieutenant-général (lgén)
Officiers généraux,Marine royale canadienne,Contre-amiral (cam)
Officiers généraux,Armée canadienne,Major-général (mgén)
Officiers généraux,Aviation royale canadienne,Major-général (mgén)
Officiers généraux,Marine royale canadienne,Commodore (cmdre)
Officiers généraux,Armée canadienne,Brigadier-général (bgén)
Officiers généraux,Aviation royale canadienne,Brigadier-général (bgén)
Officiers supérieurs,Marine royale canadienne,Capitaine de vaisseau (capv)
Officiers supérieurs,Armée canadienne,Colonel (col)
Officiers supérieurs,Aviation royale canadienne,Colonel (col)
Officiers supérieurs,Marine royale canadienne,Capitaine de frégate (capf)
Officiers supérieurs,Armée canadienne,Lieutenant-colonel (lcol)
Officiers supérieurs,Aviation royale canadienne,Lieutenant-colonel (lcol)
Officiers supérieurs,Marine royale canadienne,Capitaine de corvette (capc)
Officiers supérieurs,Armée canadienne,Major (maj)
Officiers supérieurs,Aviation royale canadienne,Major (maj)
Officiers subalternes,Marine royale canadienne,Lieutenant de vaisseau (ltv)
Officiers subalternes,Armée canadienne,Capitaine (capt)
Officiers subalternes,Aviation royale canadienne,Capitaine (capt)
Officiers subalternes,Marine royale canadienne,Enseigne de vaisseaude 1re classe (ens 1)
Officiers subalternes,Armée canadienne,Lieutenant (lt)
Officiers subalternes,Aviation royale canadienne,Lieutenant (lt)
Officiers subalternes,Marine royale canadienne,Enseigne de vaisseaude 2e classe (ens 2)
Officiers subalternes,Armée canadienne,Sous-lieutenant (slt)
Officiers subalternes,Aviation royale canadienne,Sous-lieutenant (slt)
Officiers subordonnés,Marine royale canadienne,Aspirant de marine (aspm)
Officiers subordonnés,Armée canadienne,Élève-officier (élof)
Officiers subordonnés,Aviation royale canadienne,Élève-officier (élof)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Marine royale canadienne,Premier maîtrede 1re classe (pm 1)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Armée canadienne,Adjudant-chef (adjuc)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Aviation royale canadienne,Adjudant-chef (adjuc)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Marine royale canadienne,Premier maîtrede 2e classe (pm 2)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Armée canadienne,Adjudant-maître (adjum)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Aviation royale canadienne,Adjudant-maître (adjum)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Marine royale canadienne,Maître de 1re classe (m 1)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Armée canadienne,Adjudant (adj)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Aviation royale canadienne,Adjudant (adj)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Marine royale canadienne,Maître de 2e classe (m 2)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Armée canadienne,Sergent (sgt)
"Adjudants, Officiers mariniers et sous-officiers supérieurs",Aviation royale canadienne,Sergent (sgt)
Militaires du rang subalternes,Marine royale canadienne,Matelot-chef (matc)
Militaires du rang subalternes,Armée canadienne,Caporal-chef (cplc)
Militaires du rang subalternes,Aviation royale canadienne,Caporal-chef (cplc)
Militaires du rang subalternes,Marine royale canadienne,Matelot de 1re classe (mat 1)
Militaires du rang subalternes,Armée canadienne,Caporal (cpl)
Militaires du rang subalternes,Aviation royale canadienne,Caporal (cpl)
Militaires du rang subalternes,Marine royale canadienne,Matelot de 2e classe (mat 2)
Militaires du rang subalternes,Armée canadienne,Soldat formé (sdt (f)) / Aviateur formé (avr) 
Militaires du rang subalternes,Aviation royale canadienne,Soldat formé (sdt (f)) / Aviateur formé (avr) 
Militaires du rang subalternes,Marine royale canadienne,Matelot de 3e classe (mat 3)
Militaires du rang subalternes,Armée canadienne,Soldat confirmé  (sdt (c)) / Aviateur confirmé (avr)
Militaires du rang subalternes,Aviation royale canadienne,Soldat confirmé  (sdt (c)) / Aviateur confirmé (avr)
