EQUIPMENT,ORGANIZATION,YEAR MADE,QUANTITY,,,,,
20-CUBIC DUMP TRUCK 6X4,MILITARY PERSONNEL COMMAND,2012,1,,,,,
ACTERRA EMERGENCY RESPONSE VEHICLE,ROYAL CANADIAN AIRFORCE,2004,1,,,,,
ADVANCE ENGINEERED PRODODUCTS TRAILER,CANADIAN ARMY,2005,3,,,,,
ADVANCE ENGINEERED PRODODUCTS TRAILER,CANADIAN JOINT OPERATIONS COMMAND,2005,1,,,,,
ADVANCE SCRUBBER,CANADIAN FORCE SUPPLY DEPOT,Unknown,1,,,,,
ADVANCE SWEEPER SCRUBBER,CANADIAN ARMY,2013,2,,,,,
ADVANCE SWEEPER SCRUBBER,CANADIAN ARMY,2015,1,,,,,
ADVANCE SWEEPER SCRUBBER,ROYAL CANADIAN AIRFORCE,2013,3,,,,,
ADVANCE SWEEPER SCRUBBER,ROYAL CANADIAN AIRFORCE,2015,2,,,,,
ADVANTAGE CARGO TRAILER 500KG,MILITARY PERSONNEL COMMAND,2008,2,,,,,
ADVANTAGE TRAILER,MILITARY PERSONNEL COMMAND,2008,1,,,,,
ADVANTAGE TRAILER 1000KG,ROYAL CANADIAN AIRFORCE,2007,1,,,,,
ADVANTAGE UTILITY TRAILER 500KG,MILITARY PERSONNEL COMMAND,2015,1,,,,,
AIRCRAFT FOOD SERVICE TRUCK VAN,ROYAL CANADIAN AIRFORCE,Unknown,2,,,,,
AIRCRAFT LOADING TRAILER,ROYAL CANADIAN AIRFORCE,Unknown,3,,,,,
AIRCRAFT TANK REFULLER TRUCK,ROYAL CANADIAN AIRFORCE,2015,5,,,,,
AIRCRAFT TANK TRAILER,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
AIRCRAFT WHLD TRAILER,ROYAL CANADIAN AIRFORCE,2015,1,,,,,
AIRRAFT REFUELLER 18000 LT,CANADIAN FORCE SUPPLY DEPOT,Unknown,4,,,,,
AIRRAFT REFUELLER 18000 LT,ASSISTANT DEPUTY MINISTER (MATERIEL),Unknown,6,,,,,
AIRRAFT REFUELLER 18000 LT,ROYAL CANADIAN AIRFORCE,Unknown,7,,,,,
AIRRAFT REFUELLER 18000 LT,ROYAL CANADIAN NAVY,Unknown,1,,,,,
AIRSTREAM EXCELLA TRAILER,CANADIAN ARMY,2002,1,,,,,
AIRSTREAM EXCELLA TRAILER,ROYAL CANADIAN AIRFORCE,2002,1,,,,,
ALLEGHENY TRAILER BOAT 2500KG,CANADIAN ARMY,2016,1,,,,,
ALL-TERRAIN 4 WHLD VEHICLE,CANADIAN ARMY,2010,1,,,,,
ALL-TERRAIN 8 WHLD VEHICLE,CANADIAN ARMY,2010,1,,,,,
ALL-TERRAIN 8 WHLD VEHICLE,CANADIAN ARMY,2012,3,,,,,
ALL-TERRAIN 8 WHLD VEHICLE,ASSISTANT DEPUTY MINISTER (MATERIEL),2013,1,,,,,
ALL-TERRAIN 8 WHLD VEHICLE,ROYAL CANADIAN AIRFORCE,2010,2,,,,,
ALL-TERRAIN 8 WHLD VEHICLE,ROYAL CANADIAN AIRFORCE,2011,4,,,,,
ALUMA FLAT-BED TRAILER 1000KG,CANADIAN ARMY,2016,3,,,,,
ALUMA TILT TRAILER,CANADIAN ARMY,2012,1,,,,,
ALUMA TRAILER VAN 500KG,ROYAL CANADIAN AIRFORCE,2013,1,,,,,
ALUMA TRAILER VAN 500KG,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
ALUMINUM TRAILER 3000KG 4.5M,ROYAL CANADIAN AIRFORCE,2014,1,,,,,
AM GENERAL HUMMER TRUCK,ROYAL CANADIAN AIRFORCE,1999,2,,,,,
AMERICAN HAULER TRAILER,ROYAL CANADIAN AIRFORCE,2009,1,,,,,
AMERICAN HAULER TRAILER,ROYAL CANADIAN AIRFORCE,2011,1,,,,,
AMERICAN HAULER TRAILER,ROYAL CANADIAN AIRFORCE,2012,1,,,,,
ANHUI HELI TRUCK LIFT,ROYAL CANADIAN AIRFORCE,2005,1,,,,,
ANTENNA COMMUNICATIONS TRAILER,CANADIAN JOINT OPERATIONS COMMAND,2012,2,,,,,
APOLLO COMMUTER BUS 45 PAX,CANADIAN ARMY,2017,14,,,,,
APOLLO COMMUTER BUS 45 PAX,MILITARY PERSONNEL COMMAND,2017,3,,,,,
APOLLO COMMUTER BUS 45 PAX,ROYAL CANADIAN AIRFORCE,2017,6,,,,,
APOLLO COMMUTER BUS 45 PAX,ROYAL CANADIAN NAVY,2017,4,,,,,
ARCTIC CAT 4 WHLD TRV,CANADIAN ARMY,2011,8,,,,,
ARCTIC CAT 4 WHLD TRV,CANADIAN ARMY,2012,7,,,,,
ARCTIC CAT 4 WHLD TRV,ROYAL CANADIAN AIRFORCE,2013,5,,,,,
ARCTIC CAT ATV,CANADIAN ARMY,2008,3,,,,,
ARCTIC CAT ATV,CANADIAN ARMY,2009,2,,,,,
ARCTIC CAT ATV,CANADIAN ARMY,2012,16,,,,,
ARCTIC CAT ATV,CANADIAN JOINT OPERATIONS COMMAND,2008,2,,,,,
ARCTIC CAT ATV,ROYAL CANADIAN AIRFORCE,2010,2,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN ARMY,2008,2,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN ARMY,2009,70,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN ARMY,2010,33,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN ARMY,2012,75,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN ARMY,2013,251,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN JOINT OPERATIONS COMMAND,2009,2,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN JOINT OPERATIONS COMMAND,2011,10,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN JOINT OPERATIONS COMMAND,2012,5,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN JOINT OPERATIONS COMMAND,2013,18,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,CANADIAN FORCE SUPPLY DEPOT,2011,1,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,MILITARY PERSONNEL COMMAND,2012,2,,,,,
ARCTIC CAT BEARCAT SNOWMOBILE,ROYAL CANADIAN AIRFORCE,2010,1,,,,,
